#separator:tab
#html:true
#tags column:11
pollard	a tree cut back to the trunk to promote the growth of a dense head of foliage					noun			poll
ontology	1) a branch of metaphysics concerned with the nature and relations of being <br>2) a particular theory about the nature of being or the kinds of things that have existence<br>					noun			New Latin <em>ontologia</em>, from <em>ont-</em> + <em>-logia</em> -logy
cant	1) the expression or repetition of conventional or trite opinions or sentiments<br>2) a set or stock phrase<br>3) the private language of the underworld <br>4) jargon<br>5) the phraseology peculiar to a religious class or sect<br>6) affected singsong or whining speech <br>					noun			
aureole	1) a radiant light around the head or body of a representation of a sacred personage<br>2) something resembling an aureole <br>3) radiance, aura <br>4) the luminous area surrounding the sun or other bright light when seen through thin cloud or mist <b>:</b> corona<br>5) a ring-shaped zone around an igneous intrusion<br>					noun			Middle English <em>aureole</em> heavenly crown worn by saints, from Medieval Latin <em>aureola</em>, from Latin, feminine of <em>aureolus</em> golden, diminutive of <em>aureus</em>
reify	to consider or represent (something abstract) as a material or concrete thing <b>:</b> to give definite content and form to (a concept or idea) 					verb			Latin <em>res</em> thing 
descry	1) to catch sight of <br>2) find out, discover<br>3) to make known <b>:</b> reveal<br>					verb			in sense 1 Middle English <em>descrien, descriven, descreven</em> "to catch sight of, discover, discern," apparently developed from <em>descriven</em> (rarely <em>descrien</em>) "to describe, recount, characterize," borrowed from Anglo-French <em>descrire, descriver, descrier</em> "to describe, give an account of," going back to Latin <em>dēscrībere</em> "to represent by drawing, describe"; in sense 2 Middle English <em>descrien</em> "to announce, make known, reveal, betray," perhaps borrowed from Middle French <em>descrier</em> "to cry, make known," from <em>des-</em> de- + <em>crier</em> "to cry"
riposte	1) a fencer's quick return thrust following a parry<br>2) a retaliatory verbal sally <b>:</b> retort<br>3) a retaliatory maneuver or measure<br>					noun			French, modification of Italian <em>risposta</em>, literally, answer, from <em>rispondere</em> to respond, from Latin <em>respondēre</em>
coppice	to cut back so as to regrow in the form of a coppice					verb			
colophon	1) an inscription at the end of a book or manuscript usually with facts about its production<br>2) an identifying mark used by a printer or a publisher<br>					noun			Latin, from Greek <em>kolophōn</em> summit, finishing touch; perhaps akin to Latin <em>culmen</em> top 
ephemera	1) something of no lasting significance <br>2) paper items (such as posters, broadsides, and tickets) that were originally meant to be discarded after use but have since become collectibles<br>					noun			New Latin, from Greek <em>ephēmera</em>, neuter plural of <em>ephēmeros</em>
panopticon	1) an optical instrument combining the telescope and microscope<br>2) a circular prison built with cells arranged radially so that a guard at a central position can see all the prisoners<br>					noun			
effectual	producing or able to produce a desired effect					adjective			Middle English <em>effectuel, effectual</em> "efficacious, effective, legally binding," borrowed from Anglo-French <em>effectuel,</em> borrowed from Medieval Latin <em>effectuālis,</em> from Latin <em>effectu-,</em> stem of <em>effectus</em> "achievement, result, effect" + <em>-ālis</em> -al
philology	1) the study of literature and of disciplines relevant to literature or to language as used in literature<br>2) linguistics<br>3) the study of human speech especially as the vehicle of literature and as a field of study that sheds light on cultural history<br>					noun			French <em>philologie</em>, from Latin <em>philologia</em> love of learning and literature, from Greek, from <em>philologos</em> fond of learning and literature, from <em>phil-</em> + <em>logos</em> word, speech 
largesse	1) liberal giving (as of money) to or as if to an inferior <br>2) generosity <br>					noun			Middle English <em>largesse</em>, from Anglo-French, from <em>large</em>
liminal	1) of, relating to, or situated at a sensory threshold <b>:</b> barely perceptible or capable of eliciting a response <br>2) of, relating to, or being an intermediate state, phase, or condition <b>:</b> in-between, transitional <br>					adjective			Latin <em>limin-, limen</em> threshold
deshabille	1) negligee<br>2) the state of being dressed in a casual or careless style<br>3) a deliberately careless or casual manner<br>					noun			
milquetoast	a timid, meek, or unassertive person					noun			Caspar <em>Milquetoast</em>, comic strip character created by H. T. Webster †1952 American cartoonist
parallax	the apparent displacement or the difference in apparent direction of an object as seen from two different points not on a straight line with the object					noun			Middle French <em>parallaxe</em>, from Greek <em>parallaxis</em>, from <em>parallassein</em> to change, from <em>para-</em> + <em>allassein</em> to change, from <em>allos</em> other
ductile	1) capable of being drawn out  into wire or thread <br>2) easily led or influenced <br>3) capable of being fashioned into a new form<br>					adjective			Middle English <em>ductil</em>, from Latin <em>ductilis</em>, from <em>ducere</em> 
Charybdis	a whirlpool off the coast of Sicily personified in Greek mythology as a female monster ; compare scylla					noun			Latin, from Greek
ibid.	ibidem; in the same place 					abbreviation			
